"","V2","V4","Short2 Usage","2s Assisted","Short 2P%","2PA","Short2Usage_percentile","Short2Usage_ranking","Assisted2s_percentile","Assisted2s_ranking","Attempted2s_percentile","Attempted2s_ranking","Short2_FGPct_percentile","Short2_FGPct_ranking","Temp"
"1410","Terance Mann","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1411","Terrence Shannon Jr.","MIN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1412","Thanasis Antetokounmpo","MIL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1413","Thomas Bryant","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1414","Tidjane Salaün","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1415","Tim Hardaway Jr.","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1416","Tobias Harris","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1417","Tolu Smith","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1418","Tony Bradley","IND",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1419","Toumani Camara","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1420","Trae Young","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1421","Trayce Jackson-Davis","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1422","Tre Johnson","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1423","Tre Jones","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1424","Tre Mann","CHO",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1425","Trendon Watford","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1426","Trentyn Flowers","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1427","Trey Alexander","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1428","Trey Jemison","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1429","Trey Murphy III","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1430","Tristan Da Silva","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1431","Tristan Vukcevic","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1432","Tyler Herro","MIA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1433","Tyler Kolek","NYK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1434","Tyrese Martin","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1435","Tyrese Maxey","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1436","Tyrese Proctor","CLE",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1437","Tyus Jones","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1438","VJ Edgecombe","PHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1439","Victor Wembanyama","SAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1440","Vince Williams Jr.","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1441","Vit Krejci","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1442","Walker Kessler","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1443","Walter Clayton","UTA",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1444","Wendell Carter Jr.","ORL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1445","Wendell Moore Jr.","DET",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1446","Will Richard","GSW",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1447","Will Riley","WAS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1448","Xavier Tillman Sr.","BOS",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1449","Yang Hansen","POR",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1450","Yanic Konan Niederhäuser","LAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1451","Yves Missi","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1452","Zaccharie Risacher","ATL",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1453","Zach Collins","CHI",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1454","Zach Edey","MEM",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1455","Zach LaVine","SAC",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1456","Zeke Nnaji","DEN",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1457","Ziaire Williams","BRK",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
"1458","Zion Williamson","NOP",1.2,1.2,1.2,16.4,105,540,105,543,105,550,105,539,"High"
